behold;kategori;navn;mw;gwh;sone;eier;kommune;lon;lat
JA;vind;Øyfjellet;400.0;1320.72;NO4;ØYFJELLET WIND AS;Vefsn;13.013234;65.853836
JA;vind;Storheia;288.0;973.00;NO3;FOSEN VIND DA;Ørland, Åfjord;10.145516;63.880964
JA;vind;Roan;255.6;884.00;NO3;ROAN VIND DA;Åfjord;10.338424;64.145432
JA;vind;Tonstad;208.3;659.69;NO2;TONSTAD VINDKRAFT AS;Flekkefjord, Sirdal;6.789329;58.540192
JA;vind;Guleslettene;197.4;704.87;NO3;GULESLETTENE VINDKRAFT AS;Kinn, Bremanger;5.104668;61.679416
JA;vind;Kvitfjell;197.4;631.18;NO4;TROMSØ VIND AS;Tromsø;18.15393;69.588307
JA;vind;Geitfjellet;180.6;537.1;NO3;FOSEN VIND DA;Heim, Orkland;9.494031;63.354863
JA;vind;Odal;163.2;530.2;NO1;ODAL VINDKRAFTVERK AS;Nord-Odal;11.463415;60.369943
JA;vind;Tellenes;160.0;547.8;NO2;TELLENES VINDPARK AS;Sokndal, Lund;6.461521;58.339909
JA;vind;Bjerkreim;155.4;518.47;NO2;BJERKREIM VIND AS;Bjerkreim;5.909388;58.584847
JA;vind;Midtfjellet;149.6;396.17;NO2;MIDTFJELLET VINDKRAFT AS;Fitjar;5.374429;59.930346
JA;vind;Smøla;145.8;316.92;NO3;SMØLA VIND 2 AS;Smøla;7.919455;63.405972
JA;vind;Skinansfjellet og Gravdal;138.6;463.42;NO2;NORSK VIND SKINANSFJELLET AS;Bjerkreim, Hå;5.909388;58.584847
JA;vind;Sørmarkfjellet;130.2;384.01;NO3;SØRMARKFJELLET AS;Osen, Flatanger;10.695862;64.392179
JA;vind;Harbaksfjellet;126.0;393.86;NO3;FOSEN VIND DA;Åfjord;10.081154;64.075981
JA;vind;Kvenndalsfjellet;113.4;357.45;NO3;FOSEN VIND DA;Åfjord;10.120379;64.007162
JA;vind;Egersund;112.2;355.35;NO2;EGERSUND VIND AS;Eigersund;6.095567;58.433966
JA;vind;Raskiftet;111.6;315.74;NO1;AUSTRI RASKIFTET DA;Trysil, Åmot;11.789679;61.189807
JA;vind;Sørfjord;98.9;305.03;NO4;SØRFJORD VINDPARK AS;Hamarøy;16.654624;68.032874
JA;vind;Måkaknuten;94.6;330.27;NO2;EWZ MÅKAKNUTEN VIND AS;Bjerkreim, Gjesdal;5.933113;58.675683
JA;vind;Hitra 2;93.6;258.7;NO3;FOSEN VIND DA;Hitra;8.78083;63.521514
JA;vind;Stokkfjellet;88.2;311.39;NO3;STOKKFJELLET AS;Selbu;11.195961;63.143097
JA;vind;Raudfjell;84.0;224.28;NO4;RAUDFJELL VIND AS;Tromsø;18.15392;69.588301
JA;vind;Buheii;79.8;271.4;NO2;BUHEII VINDKRAFT AS;Kvinesdal;6.876281;58.650585
JA;vind;Høg-Jæren;73.6;234.64;NO2;JÆREN ENERGI AS;Hå, Time;5.762897;58.648786
JA;vind;Lista;71.3;224.27;NO2;LISTA VINDKRAFTVERK AS;Farsund;6.685545;58.157997
JA;vind;Frøya;58.8;177.84;NO3;FRØYA VIND AS;Frøya;8.65396;63.697208
JA;vind;Bessakerfjellet;57.5;152.94;NO3;MIDGARD VIND AS;Åfjord;10.369872;64.223353
JA;vind;Kjølberget;55.9;194.79;NO1;AUSTRI KJØLBERGET DA;Våler (Innlandet);12.187743;61.028051
JA;vind;Hitra;55.2;126.1;NO3;HITRA VIND AS;Hitra;8.78083;63.521514
JA;vind;Hundhammerfjellet;55.0;184.07;NO3;HUNDHAMMERFJELLET AS;Nærøysund;11.368295;64.756378
JA;vind;Fakken;54.0;137.9;NO4;FAKKEN VIND AS;Karlsøy;20.059784;70.098036
JA;vind;Marker;54.0;181.38;NO1;MARKER VINDPARK AS;Marker;11.735392;59.493956
JA;vind;Hamnefjell;51.75;215.86;NO4;HAMNEFJELL VINDKRAFT AS;Båtsfjord;29.687858;70.661905
JA;vind;Raggovidda 2;51.6;216.0;NO4;VARANGER KRAFTVIND AS;Berlevåg;29.047752;70.759241
JA;vind;Lutelandet;51.3;148.57;NO3;LUTELANDET ENERGIPARK AS;Fjaler;4.957923;61.252488
JA;vind;Hennøy;50.4;145.04;NO3;RENANTIS NORWAY AS;Bremanger;5.146924;61.791976
JA;vind;Ånstadblåheia;50.4;134.06;NO4;ÅNSTADBLÅHEIA VINDPARK AS;Sortland – Suortá;15.28066;68.721587
